127.0.0.1, 2016-12-21 20:21:30, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.021000
127.0.0.1, 2016-12-21 20:21:57, POST, /welcome/default/user/register, HTTP/1.1, 303, 0.106000
127.0.0.1, 2016-12-21 20:21:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.074000
127.0.0.1, 2016-12-21 20:22:08, GET, /welcome/default/user/profile, HTTP/1.1, 200, 0.038000
127.0.0.1, 2016-12-21 20:22:10, POST, /welcome/default/user/profile, HTTP/1.1, 303, 0.056000
127.0.0.1, 2016-12-21 20:22:10, GET, /welcome/default/index, HTTP/1.1, 200, 0.020000
127.0.0.1, 2016-12-21 20:22:13, GET, /welcome/default/user/profile, HTTP/1.1, 200, 0.022000
127.0.0.1, 2016-12-21 20:22:17, GET, /welcome/default/user/logout, HTTP/1.1, 303, 0.041000
127.0.0.1, 2016-12-21 20:22:17, GET, /welcome/default/index, HTTP/1.1, 200, 0.023000
127.0.0.1, 2016-12-21 20:22:20, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.021000
127.0.0.1, 2016-12-21 20:22:24, GET, /welcome/default/user/request_reset_password, HTTP/1.1, 200, 0.021000
127.0.0.1, 2016-12-21 20:22:32, POST, /welcome/default/user/request_reset_password, HTTP/1.1, 303, 0.055000
127.0.0.1, 2016-12-21 20:22:32, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.020000
127.0.0.1, 2016-12-21 20:22:43, GET, /welcome/default/user/request_reset_password, HTTP/1.1, 200, 0.023000
127.0.0.1, 2016-12-21 20:24:18, POST, /welcome/default/user/request_reset_password, HTTP/1.1, 200, 0.023000
127.0.0.1, 2016-12-21 20:24:22, POST, /welcome/default/user/request_reset_password, HTTP/1.1, 303, 0.135000
127.0.0.1, 2016-12-21 20:24:22, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.041000
192.168.1.102, 2016-12-21 20:27:40, GET, /, HTTP/1.1, 303, 2.204000
192.168.1.102, 2016-12-21 20:27:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.188000
192.168.1.102, 2016-12-21 20:27:40, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
192.168.1.102, 2016-12-21 20:27:40, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.004000
192.168.1.102, 2016-12-21 20:27:40, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.006000
192.168.1.102, 2016-12-21 20:27:40, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.010000
192.168.1.102, 2016-12-21 20:27:40, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.012000
192.168.1.102, 2016-12-21 20:27:40, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.012000
192.168.1.102, 2016-12-21 20:27:40, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.013000
192.168.1.102, 2016-12-21 20:27:40, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.014000
192.168.1.102, 2016-12-21 20:27:40, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.018000
192.168.1.102, 2016-12-21 20:27:40, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.017000
192.168.1.102, 2016-12-21 20:27:53, GET, /welcome/default/index, HTTP/1.1, 200, 0.046000
192.168.1.102, 2016-12-21 20:27:53, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-12-21 20:28:22, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2016-12-21 20:28:22, GET, /welcome/default/index, HTTP/1.1, 200, 0.056000
127.0.0.1, 2016-12-21 20:28:22, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-12-21 20:28:22, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-12-21 20:28:22, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-12-21 20:28:22, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-12-21 20:28:22, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2016-12-21 20:28:22, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-12-21 20:28:22, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-12-21 20:28:22, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-12-21 20:28:22, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-12-21 20:28:22, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-12-21 20:28:22, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-12-21 20:28:22, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-12-21 20:28:22, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-12-21 20:28:22, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-12-21 20:28:37, GET, /welcome/appadmin/index, HTTP/1.1, 303, 0.036000
127.0.0.1, 2016-12-21 20:28:37, GET, /admin/default/index, HTTP/1.1, 200, 0.143000
127.0.0.1, 2016-12-21 20:28:37, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-12-21 20:28:42, POST, /admin/default/index, HTTP/1.1, 303, 0.216000
127.0.0.1, 2016-12-21 20:28:42, GET, /welcome/appadmin/index, HTTP/1.1, 200, 0.059000
127.0.0.1, 2016-12-21 20:28:42, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.103000
127.0.0.1, 2016-12-21 20:28:51, GET, /welcome/appadmin/select/db, HTTP/1.1, 200, 0.073000
127.0.0.1, 2016-12-21 20:29:11, GET, /welcome/appadmin/state, HTTP/1.1, 200, 0.106000
127.0.0.1, 2016-12-21 20:29:18, GET, /welcome/appadmin/ccache, HTTP/1.1, 200, 0.090000
127.0.0.1, 2016-12-21 21:47:45, GET, /, HTTP/1.1, 303, 1.212000
127.0.0.1, 2016-12-21 21:47:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.168000
127.0.0.1, 2016-12-21 21:50:36, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2016-12-21 21:50:36, GET, /welcome/default/index, HTTP/1.1, 200, 0.055000
127.0.0.1, 2016-12-21 21:50:44, GET, /admin/default/site, HTTP/1.1, 303, 0.122000
127.0.0.1, 2016-12-21 21:50:44, GET, /admin/default/index, HTTP/1.1, 200, 0.036000
127.0.0.1, 2016-12-21 21:50:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-12-21 21:50:47, GET, /admin/default/index, HTTP/1.1, 200, 0.048000
127.0.0.1, 2016-12-21 21:50:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-12-21 21:50:48, GET, /admin/default/index, HTTP/1.1, 200, 0.045000
127.0.0.1, 2016-12-21 21:50:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-12-21 21:50:48, GET, /admin/default/index, HTTP/1.1, 200, 0.047000
127.0.0.1, 2016-12-21 21:50:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-12-21 21:50:50, GET, /admin/default/index, HTTP/1.1, 200, 0.038000
127.0.0.1, 2016-12-21 21:50:50, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-12-21 21:50:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.043000
127.0.0.1, 2016-12-21 21:51:59, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2016-12-21 21:51:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.050000
127.0.0.1, 2016-12-21 21:52:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.044000
